,股票名稱,進場日期,進場價格,出場日期,出場價格,120天最高價,120天最低價
2597,潤弘,20181228,48.4,,,0.030991735537190084,0.030991735537190084
2601,益航,20181227,11.1,,,0.004504504504504569,-0.009009009009008978
2611,志信,20180726,8.14,,,0.046683046683046556,-0.20147420147420153
2612,中航,20181015,36.45,,,0.01783264746227705,-0.22222222222222224
2614,東森,20181228,11.2,,,0.19196428571428575,0.19196428571428575
2617,台航,20181228,18.45,,,0.03252032520325211,0.03252032520325211
2633,台灣高鐵,20181228,27.5,,,0.11818181818181818,0.11818181818181818
2640,大車隊,20180622,81.3,,,0.004920049200492075,-0.3198031980319803
2702,華園,20181228,18.25,,,0.2986301369863013,0.2986301369863013
2704,國賓,20181205,27.7,,,0.010830324909747318,-0.16064981949458482
2712,遠雄來,20181228,27.9,,,0.41935483870967755,0.41935483870967755
2731,雄獅,20180605,123.0,,,0.02032520325203252,-0.34959349593495936
2732,六角,20180511,98.0,,,0.12244897959183673,-0.3489795918367347
2801,彰銀,20181001,18.8,,,0.005319148936170099,-0.08244680851063833
2809,京城銀,20180322,38.35,,,0.005215123859191545,-0.2529335071707954
2812,台中銀,20181017,10.4,,,0.004807692307692205,-0.028846153846153914
2816,旺旺保,20180927,22.2,,,0.011261261261261262,-0.18918918918918917
2820,華票,20180110,15.9,,,0.006289308176100607,-0.17610062893081765
2834,臺企銀,20181228,8.66,,,0.20092378752886839,0.20092378752886839
2838,聯邦銀,20181228,9.55,,,0.00418848167539258,0.00418848167539258
2845,遠東銀,20181221,10.05,,,0.004975124378109346,-0.005970149253731393
2850,新產,20181228,29.45,,,0.18675721561969452,0.18675721561969452
2851,中再保,20180820,18.9,,,0.005291005291005366,-0.1296296296296296
2852,第一保,20181008,15.1,,,0.0033112582781457426,-0.10927152317880798
2855,統一證,20180129,15.6,,,0.0064102564102563875,-0.27884615384615385
2880,華南金,20181003,18.4,,,0.002717391304347865,-0.06249999999999993
2881,富邦金,20180622,53.7,,,0.0018621973929235439,-0.13407821229050285
2882,國泰金,20180621,56.2,,,0.001779359430604881,-0.1797153024911032
