,進場日期,進場價格,120天最高價,120天最低價,進場當天成交金額(千),Ma2prev1,Ma2prev2,Ma2prev2-Ma2prev1,oneMonthVolatility,twoMonthVolatility,threeMonthVolatility,twelveMonthVolatility,twelveMonthFluctuation,bias60,bias250,alpha250,Beta21,Beta65,Beta250,PrevYearHighest
6441_20201214,20201214.0,140.0,0.1071428571428571,-0.4507142857142857,,185.93,125.98,59.95,61.04,69.07,68.44,71.5,0.712,-4.61,49.52,0.4747,-1.2396,2.0287,1.566,71.3
6443_20201214,20201214.0,39.0,0.2551282051282052,-0.2179487179487179,,18.35,20.64,-2.289999999999999,72.38,72.0,74.95,68.37,0.673,9.04,145.09,0.6834,-2.937,-0.5969,0.8574,11.45
6477_20201214,20201214.0,62.7,0.2169059011164273,-0.3516746411483254,,33.445,184.91,-151.465,36.54,62.07,67.06,55.1,0.545,13.66,94.25,0.4009,-1.2066,0.8865,0.862,28.0
6531_20201214,20201214.0,413.0,1.2687651331719128,-0.0484261501210653,,-19.23,38.31,-57.540000000000006,61.39,59.46,57.46,84.17,0.841,10.82,55.08,0.6337,0.1864,1.2867,1.959,127.5
6533_20201214,20201214.0,324.5,0.9845916795069336,-0.1540832049306625,,51.82,-1.2650000000000006,53.085,116.89,90.64,80.25,62.66,0.625,41.71,102.69,0.272,1.5145,1.4769,1.5599,196.0
6560_20201214,20201214.0,103.0,0.2572815533980582,-0.2378640776699029,,287.18,331.31,-44.13,80.84,83.02,81.03,60.89,0.602,22.8,116.96,0.4421,1.6131,2.4342,0.9867,75.3
8011_20201217,20201217.0,24.3,0.1975308641975308,-0.3888888888888889,,3.385,-13.985,17.37,45.76,45.88,41.24,47.99,0.478,33.91,42.85,0.093,1.3583,1.2971,1.232,23.0
8027_20201214,20201214.0,92.1,0.1183496199782845,-0.272529858849077,,76.33500000000001,37.665,38.67000000000001,48.58,45.59,51.08,53.42,0.528,18.78,84.95,0.3421,1.4085,1.5639,1.1252,50.8
8046_20201214,20201214.0,186.5,0.96514745308311,-0.067024128686327,,26.055,26.245,-0.1899999999999977,67.07,59.28,57.35,63.95,0.636,35.35,112.81,0.4889,-1.0697,0.8976,1.3627,58.4
8171_20201214,20201214.0,45.75,0.5213114754098359,-0.1278688524590164,,26.91,62.165,-35.255,33.4,41.22,49.4,51.01,0.503,18.52,110.72,0.5106,-0.3883,1.6344,0.6899,16.25
8358_20201223,20201223.0,48.8,0.903688524590164,-0.0143442622950818,,-2.78,3.87,-6.65,46.94,37.11,32.02,41.46,0.416,18.28,26.54,-0.043,1.546,0.9058,1.2601,48.65
8390_20201214,20201214.0,31.15,0.7560192616372393,-0.0642054574638844,,-7.67,-30.78,23.11,56.26,44.78,42.49,49.83,0.494,24.44,46.21,0.1562,2.3716,2.0117,1.2415,22.5
